Date,Total_Cases,Total_Deaths,Total_Hospitalizations,Ages_0to17,Ages_18to29,Ages_30to39,Ages_40to49,Ages_50to59,Ages_60to69,Ages_70to79,Age_80andAbove,Ages_Unknown,Female,Male,Unknown_Gender,Latinx,Asian_NonLatinx,Black_NonLatinx,White_NonLatinx,OtherRace_NonLatinx,UnknownRace_Ethnicity,Ages_0to17,Ages_18to29,Ages_30to39,Ages_40to49,Ages_50to59,Ages_60to69,Ages_70to79,Ages_80+,Ages_Unknown,Female,Male,Unknown_Gender,Latinx,Asian_NonLatinx,Black_NonLatinx,White_NonLatinx,OtherRace_NonLatinx,UnknownRace_Ethnicity,Hospitalizations_Ages_0to17,Hospitalizations_Ages_18to29,Hospitalizations_Ages_30to39,Hospitalizations_Ages_40to49,Hospitalizations_Ages_50to59,Hospitalizations_Ages_60to69,Hospitalizations_Ages_70to79,Hospitalizations_Ages_80+,Hospitalizations_Ages_Unknown,Hospitalizations_Female,Hospitalizations_Male,Hospitalizations_Unknown_Gender,Hospitalizations_Latinx,Hospitalizations_Asian_NonLatinx,Hospitalizations_Black_NonLatinx,Hospitalizations_White_NonLatinx,Hospitalizations_Other_Race NonLatinx,Hospitalizations_UnknownRace_Ethnicity
7/7/2020,342,4,23,35,107,69,55,45,19,8,4,0,184,157,1,101,12,90,73,12,54,0,0,0,0,0,3,0,1,0,3,1,0,3,0,1,0,0,0,0,2,3,2,5,4,5,2,0,8,15,0,4,2,12,4,1,0
7/8/2020,309,4,21,37,100,68,38,33,20,11,2,0,158,151,0,88,9,71,55,11,75,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0,1,6,2,0,2,3,4,3,0,10,11,0,6,1,7,5,0,2
7/9/2020,288,8,27,27,93,58,41,34,23,7,5,0,135,152,1,85,4,89,61,8,41,0,0,0,0,1,2,5,0,0,4,4,0,3,0,3,2,0,0,0,4,3,1,10,5,2,2,0,12,15,0,7,2,14,4,0,0
7/10/2020,345,6,24,35,120,74,51,24,18,18,5,0,168,175,2,101,6,99,66,12,61,0,0,0,0,2,1,2,1,0,1,5,0,3,0,2,1,0,0,0,3,3,0,4,1,9,4,0,12,12,0,4,0,15,5,0,0
7/11/2020,153,2,16,8,68,22,22,13,12,8,0,0,78,75,0,34,3,41,35,13,27,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,5,1,1,1,3,4,1,0,7,9,0,4,0,11,1,0,0
7/12/2020,97,4,13,7,33,15,19,11,3,7,2,0,52,45,0,27,4,25,20,4,17,0,0,0,0,0,2,0,2,0,2,2,0,0,0,1,3,0,0,1,2,0,1,2,2,5,0,0,5,8,0,2,2,8,1,0,0
7/13/2020,337,3,24,36,99,69,45,35,31,7,15,0,194,142,1,126,7,90,59,8,47,0,1,0,0,0,1,0,1,0,1,2,0,1,0,1,1,0,0,2,2,4,2,5,4,3,2,0,13,11,0,8,2,9,4,1,0
7/14/2020,324,3,20,46,82,69,49,38,23,15,2,0,184,138,2,138,3,71,64,8,40,0,0,0,0,1,0,1,1,0,3,0,0,2,0,0,1,0,0,0,2,3,2,3,6,4,0,0,13,7,0,8,0,9,2,1,0
7/15/2020,268,7,19,30,84,51,33,34,18,12,6,0,150,118,0,97,4,83,41,11,32,0,0,0,0,2,2,1,2,0,3,4,0,1,0,6,0,0,0,0,5,2,1,2,3,4,2,0,11,8,0,6,0,8,4,1,0
7/16/2020,297,2,21,27,88,67,43,31,22,10,9,0,156,140,1,93,3,80,57,11,53,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,7,2,4,3,2,2,1,0,11,10,0,7,1,9,4,0,0
